url_id,url,page_type,source
TONES-PROD-URL-0001,https://www.tonesfashion.com/products/daily-tees-black-copy,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0002,https://www.tonesfashion.com/products/daily-tees-orange,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0003,https://www.tonesfashion.com/products/tones-original-black,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0004,https://www.tonesfashion.com/products/chaotic-good-pink-1,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0005,https://www.tonesfashion.com/products/round-neck-slim-fit-tee-navy-blue-copy,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0006,https://www.tonesfashion.com/products/round-neck-slim-fit-tee-white-copy,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0007,https://www.tonesfashion.com/products/elivated-basics-oversized,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0008,https://www.tonesfashion.com/products/elevated-basics-oversized-copy,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0009,https://www.tonesfashion.com/products/elevated-basics-oversized-copy-copy,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0010,https://www.tonesfashion.com/products/storm-weaver-relaxed-fit-coffee-beige,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0011,https://www.tonesfashion.com/products/predator-tee-relaxed-fit-white,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0012,https://www.tonesfashion.com/products/predator-tee-relaxed-fit-green,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0013,https://www.tonesfashion.com/products/anti-perfect-tee-cofee-beige,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0014,https://www.tonesfashion.com/products/tones-embroidery-cap-brown,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0015,https://www.tonesfashion.com/products/maroon-satin-shirt,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0016,https://www.tonesfashion.com/products/electric-blue-satin-shirt,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0017,https://www.tonesfashion.com/products/cream-chinos,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0018,https://www.tonesfashion.com/products/beige-flannel-shirt-copy,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0019,https://www.tonesfashion.com/products/red-drip-sweatshirt,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0020,https://www.tonesfashion.com/products/blue-drip-sweatshirt-copy,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0021,https://www.tonesfashion.com/products/urban-drfit-green,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0022,https://www.tonesfashion.com/products/gods-master-piece-white-copy,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0023,https://www.tonesfashion.com/products/grey-chions,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0024,https://www.tonesfashion.com/products/dark-brown-chions,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0025,https://www.tonesfashion.com/products/olive-green-chions,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0026,https://www.tonesfashion.com/products/jute-light-blue-shirt,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0027,https://www.tonesfashion.com/products/jute-grey-shirt,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0028,https://www.tonesfashion.com/products/textured-brown-shirt,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0029,https://www.tonesfashion.com/products/double-pocket-black-shirt,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0030,https://www.tonesfashion.com/products/double-pocket-off-white-shirt,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0031,https://www.tonesfashion.com/products/dobby-burnt-orange-shirt,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0032,https://www.tonesfashion.com/products/white-bloom-shirt,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0033,https://www.tonesfashion.com/products/sage-rayon,PRODUCT,Shopify Product Sitemap
TONES-PROD-URL-0034,https://www.tonesfashion.com/products/tropic-rayon,PRODUCT,Shopify Product Sitemap
