url_id,url,page_type,source
TONES-COL-0062,https://www.tonesfashion.com/collections/resort-shirts,COLLECTION,Sitemap
TONES-COL-0063,https://www.tonesfashion.com/collections/resort-shirts-1,COLLECTION,Sitemap
TONES-COL-0064,https://www.tonesfashion.com/collections/selling-fast,COLLECTION,Sitemap
TONES-COL-0065,https://www.tonesfashion.com/collections/shirtee,COLLECTION,Sitemap
TONES-COL-0066,https://www.tonesfashion.com/collections/shirts,COLLECTION,Sitemap
TONES-COL-0067,https://www.tonesfashion.com/collections/shirts-1,COLLECTION,Sitemap
TONES-COL-0068,https://www.tonesfashion.com/collections/short-kurtas,COLLECTION,Sitemap
TONES-COL-0069,https://www.tonesfashion.com/collections/special-edition,COLLECTION,Sitemap
TONES-COL-0070,https://www.tonesfashion.com/collections/street-muse,COLLECTION,Sitemap
TONES-COL-0071,https://www.tonesfashion.com/collections/summer-casuals,COLLECTION,Sitemap
TONES-COL-0072,https://www.tonesfashion.com/collections/summer-colors,COLLECTION,Sitemap
TONES-COL-0073,https://www.tonesfashion.com/collections/super-limited-color-edition,COLLECTION,Sitemap
TONES-COL-0074,https://www.tonesfashion.com/collections/sweat-shirts,COLLECTION,Sitemap
TONES-COL-0075,https://www.tonesfashion.com/collections/sweatshirt,COLLECTION,Sitemap
TONES-COL-0076,https://www.tonesfashion.com/collections/t-shirts,COLLECTION,Sitemap
TONES-COL-0077,https://www.tonesfashion.com/collections/textured-plain-shirts,COLLECTION,Sitemap
TONES-COL-0078,https://www.tonesfashion.com/collections/the-coastal-escape,COLLECTION,Sitemap
TONES-COL-0079,https://www.tonesfashion.com/collections/the-macho-shirts,COLLECTION,Sitemap
TONES-COL-0080,https://www.tonesfashion.com/collections/the-one,COLLECTION,Sitemap
TONES-COL-0081,https://www.tonesfashion.com/collections/the-refined-classics-1,COLLECTION,Sitemap
TONES-COL-0082,https://www.tonesfashion.com/collections/the-satin-edit,COLLECTION,Sitemap
TONES-COL-0083,https://www.tonesfashion.com/collections/the-understatement-collection,COLLECTION,Sitemap
TONES-COL-0084,https://www.tonesfashion.com/collections/the-wildcard,COLLECTION,Sitemap
TONES-COL-0085,https://www.tonesfashion.com/collections/tones-luxe,COLLECTION,Sitemap
TONES-COL-0086,https://www.tonesfashion.com/collections/tones-street-wear-fashion,COLLECTION,Sitemap
TONES-COL-0087,https://www.tonesfashion.com/collections/trail,COLLECTION,Sitemap
TONES-COL-0088,https://www.tonesfashion.com/collections/tribal-script,COLLECTION,Sitemap
TONES-COL-0089,https://www.tonesfashion.com/collections/true-tones,COLLECTION,Sitemap
TONES-COL-0090,https://www.tonesfashion.com/collections/tshirts,COLLECTION,Sitemap
TONES-COL-0091,https://www.tonesfashion.com/collections/under-999,COLLECTION,Sitemap
TONES-COL-0092,https://www.tonesfashion.com/collections/unisex,COLLECTION,Sitemap
TONES-COL-0093,https://www.tonesfashion.com/collections/unlocking-soon,COLLECTION,Sitemap
TONES-COL-0094,https://www.tonesfashion.com/collections/valentines-day-sale,COLLECTION,Sitemap
