url_id,url,page_type,category,title,priority,discovered_by,collection_status,verification_status,collected_at,notes
TONES-URL-0001,https://www.tonesfashion.com/,HOME,Brand,TONES Fashion,HIGH,Manual,NOT_COLLECTED,NOT_VERIFIED,,
TONES-PROD-URL-0001,https://www.tonesfashion.com/products/daily-tees-black-copy,PRODUCT,Product,,HIGH,Sitemap,NOT_COLLECTED,NOT_VERIFIED,,Product URL discovered from official Shopify product sitemap
TONES-PROD-URL-0002,https://www.tonesfashion.com/products/daily-tees-orange,PRODUCT,Product,,HIGH,Sitemap,NOT_COLLECTED,NOT_VERIFIED,,Product URL discovered from official Shopify product sitemap
TONES-PROD-URL-0003,https://www.tonesfashion.com/products/tones-original-black,PRODUCT,Product,,HIGH,Sitemap,NOT_COLLECTED,NOT_VERIFIED,,Product URL discovered from official Shopify product sitemap
TONES-PROD-URL-0004,https://www.tonesfashion.com/products/chaotic-good-pink-1,PRODUCT,Product,,HIGH,Sitemap,NOT_COLLECTED,NOT_VERIFIED,,Product URL discovered from official Shopify product sitemap
TONES-PROD-URL-0005,https://www.tonesfashion.com/products/round-neck-slim-fit-tee-navy-blue-copy,PRODUCT,Product,,HIGH,Sitemap,NOT_COLLECTED,NOT_VERIFIED,,Product URL discovered from official Shopify product sitemap
TONES-PROD-URL-0006,https://www.tonesfashion.com/products/round-neck-slim-fit-tee-white-copy,PRODUCT,Product,,HIGH,Sitemap,NOT_COLLECTED,NOT_VERIFIED,,Product URL discovered from official Shopify product sitemap
TONES-PROD-URL-0007,https://www.tonesfashion.com/products/elivated-basics-oversized,PRODUCT,Product,,HIGH,Sitemap,NOT_COLLECTED,NOT_VERIFIED,,Product URL discovered from official Shopify product sitemap
TONES-PROD-URL-0008,https://www.tonesfashion.com/products/elevated-basics-oversized-copy,PRODUCT,Product,,HIGH,Sitemap,NOT_COLLECTED,NOT_VERIFIED,,Product URL discovered from official Shopify product sitemap
TONES-PROD-URL-0009,https://www.tonesfashion.com/products/elevated-basics-oversized-copy-copy,PRODUCT,Product,,HIGH,Sitemap,NOT_COLLECTED,NOT_VERIFIED,,Product URL discovered from official Shopify product sitemap
TONES-PROD-URL-0010,https://www.tonesfashion.com/products/storm-weaver-relaxed-fit-coffee-beige,PRODUCT,Product,,HIGH,Sitemap,NOT_COLLECTED,NOT_VERIFIED,,Product URL discovered from official Shopify product sitemap
TONES-PROD-URL-0011,https://www.tonesfashion.com/products/predator-tee-relaxed-fit-white,PRODUCT,Product,,HIGH,Sitemap,NOT_COLLECTED,NOT_VERIFIED,,Product URL discovered from official Shopify product sitemap
TONES-PROD-URL-0012,https://www.tonesfashion.com/products/predator-tee-relaxed-fit-green,PRODUCT,Product,,HIGH,Sitemap,NOT_COLLECTED,NOT_VERIFIED,,Product URL discovered from official Shopify product sitemap
TONES-PROD-URL-0013,https://www.tonesfashion.com/products/anti-perfect-tee-cofee-beige,PRODUCT,Product,,HIGH,Sitemap,NOT_COLLECTED,NOT_VERIFIED,,Product URL discovered from official Shopify product sitemap
TONES-PROD-URL-0014,https://www.tonesfashion.com/products/tones-embroidery-cap-brown,PRODUCT,Product,,HIGH,Sitemap,NOT_COLLECTED,NOT_VERIFIED,,Product URL discovered from official Shopify product sitemap
TONES-PROD-URL-0015,https://www.tonesfashion.com/products/maroon-satin-shirt,PRODUCT,Product,,HIGH,Sitemap,NOT_COLLECTED,NOT_VERIFIED,,Product URL discovered from official Shopify product sitemap
TONES-PROD-URL-0016,https://www.tonesfashion.com/products/electric-blue-satin-shirt,PRODUCT,Product,,HIGH,Sitemap,NOT_COLLECTED,NOT_VERIFIED,,Product URL discovered from official Shopify product sitemap
TONES-PROD-URL-0017,https://www.tonesfashion.com/products/cream-chinos,PRODUCT,Product,,HIGH,Sitemap,NOT_COLLECTED,NOT_VERIFIED,,Product URL discovered from official Shopify product sitemap
TONES-PROD-URL-0018,https://www.tonesfashion.com/products/beige-flannel-shirt-copy,PRODUCT,Product,,HIGH,Sitemap,NOT_COLLECTED,NOT_VERIFIED,,Product URL discovered from official Shopify product sitemap
TONES-PROD-URL-0019,https://www.tonesfashion.com/products/red-drip-sweatshirt,PRODUCT,Product,,HIGH,Sitemap,NOT_COLLECTED,NOT_VERIFIED,,Product URL discovered from official Shopify product sitemap
TONES-PROD-URL-0020,https://www.tonesfashion.com/products/blue-drip-sweatshirt-copy,PRODUCT,Product,,HIGH,Sitemap,NOT_COLLECTED,NOT_VERIFIED,,Product URL discovered from official Shopify product sitemap
TONES-PROD-URL-0021,https://www.tonesfashion.com/products/urban-drfit-green,PRODUCT,Product,,HIGH,Sitemap,NOT_COLLECTED,NOT_VERIFIED,,Product URL discovered from official Shopify product sitemap
TONES-PROD-URL-0022,https://www.tonesfashion.com/products/gods-master-piece-white-copy,PRODUCT,Product,,HIGH,Sitemap,NOT_COLLECTED,NOT_VERIFIED,,Product URL discovered from official Shopify product sitemap
TONES-PROD-URL-0023,https://www.tonesfashion.com/products/grey-chions,PRODUCT,Product,,HIGH,Sitemap,NOT_COLLECTED,NOT_VERIFIED,,Product URL discovered from official Shopify product sitemap
TONES-PROD-URL-0024,https://www.tonesfashion.com/products/dark-brown-chions,PRODUCT,Product,,HIGH,Sitemap,NOT_COLLECTED,NOT_VERIFIED,,Product URL discovered from official Shopify product sitemap
