url_id,url,status,product_name,variants,error
TONES-PROD-URL-0067,https://www.tonesfashion.com/products/soft-white-satin-shirt-copy,SUCCESS,Light Blue - Satin Shirt,5,
TONES-PROD-URL-0068,https://www.tonesfashion.com/products/burgundy-satin-shirt,SUCCESS,Burgundy - Satin Shirt,5,
TONES-PROD-URL-0069,https://www.tonesfashion.com/products/navy-blue-shirt,SUCCESS,Navy Blue - Satin Shirt,5,
TONES-PROD-URL-0070,https://www.tonesfashion.com/products/jet-black-shirt,SUCCESS,Jet Black - Satin Shirt,5,
TONES-PROD-URL-0071,https://www.tonesfashion.com/products/the-alpha-oversized-tee,SUCCESS,The Alpha - Oversized Tee,5,
TONES-PROD-URL-0072,https://www.tonesfashion.com/products/the-alpha-oversized-tee-copy,SUCCESS,The Final Act - Oversized Tee,5,
TONES-PROD-URL-0073,https://www.tonesfashion.com/products/the-final-act-oversized-tee-copy,SUCCESS,Created To Create - Oversized Tee,5,
TONES-PROD-URL-0074,https://www.tonesfashion.com/products/jet-black-satin-shirt-copy,SUCCESS,Soft Lavender - Gauze Cotton Shirt,5,
TONES-PROD-URL-0075,https://www.tonesfashion.com/products/mustard-gauze-cotton-shirt,SUCCESS,Mustard - Gauze Cotton Shirt,5,
TONES-PROD-URL-0076,https://www.tonesfashion.com/products/muted-peach-gauze-cotton-shirt,SUCCESS,Muted  Peach - Gauze Cotton Shirt,5,
TONES-PROD-URL-0077,https://www.tonesfashion.com/products/deep-sage-gauze-cotton-shirt,SUCCESS,Deep Sage - Gauze Cotton Shirt,5,
TONES-PROD-URL-0078,https://www.tonesfashion.com/products/deep-sage-gauze-cotton-shirt-copy,SUCCESS,Blue Oxford Shirt,5,
TONES-PROD-URL-0079,https://www.tonesfashion.com/products/blue-oxford-shirt-copy,SUCCESS,Sage Oxford Shirt,5,
TONES-PROD-URL-0080,https://www.tonesfashion.com/products/yellow-oxford-shirt,SUCCESS,Yellow Oxford Shirt,5,
TONES-PROD-URL-0081,https://www.tonesfashion.com/products/pink-oxford-shirt,SUCCESS,Pink Oxford Shirt,5,
