source_collection_id,product_handle,product_id,variant_id,collection_ids
TONES-COL-0018,the-alpha-oversized-tee-copy,11051705925825,50525615587521,471435739329|470701048001|483744415937|293003460801|485747097793|474547093697|284518547649|491823464641|491635343553|474531004609
TONES-COL-0018,the-final-act-oversized-tee-copy,11051711365313,50525626335425,471435739329|470701048001|483744415937|293003460801|485747097793|474547093697|284518547649|491823464641|491635343553|474531004609
TONES-COL-0023,daily-tees-orange,10481367548097,48436801831105,479397216449|471435739329|491823464641|489800040641|487623786689|474531004609|293299388609
TONES-COL-0023,the-final-act-oversized-tee-copy,11051711365313,50525626335425,471435739329|470701048001|483744415937|293003460801|485747097793|474547093697|284518547649|491823464641|491635343553|474531004609
TONES-COL-0023,daily-tees-black-copy,10481366139073,48436795506881,471435739329|491823464641|489800040641|487623786689|474531004609
TONES-COL-0023,the-alpha-oversized-tee,11051699667137,50525600710849,471435739329|470701048001|483744415937|293003460801|485747097793|474547093697|284518547649|491823464641|491635343553|474531004609
TONES-COL-0023,the-alpha-oversized-tee-copy,11051705925825,50525615587521,471435739329|470701048001|483744415937|293003460801|485747097793|474547093697|284518547649|491823464641|491635343553|474531004609
TONES-COL-0023,navy-blue-acid-wash-t-shirt-2,11027260997825,50427320860865,490551181505|471435739329|470701048001|293003460801|485747097793|474547093697|284518547649|491823464641|487623786689
TONES-COL-0023,navy-blue-acid-wash-t-shirt-1,11027260408001,50427315257537,490551181505|471435739329|470701048001|293003460801|485747097793|474547093697|284518547649|491823464641|487623786689
TONES-COL-0023,rustic-brown-acid-wash-t-shirt,11027259588801,50427312111809,490551181505|471435739329|470701048001|293003460801|485747097793|474547093697|284518547649|491823464641|489800040641|487623786689
TONES-COL-0024,rustic-brown-acid-wash-t-shirt,11027259588801,50427312111809,490551181505|471435739329|470701048001|293003460801|485747097793|474547093697|284518547649|491823464641|489800040641|487623786689
TONES-COL-0024,navy-blue-acid-wash-t-shirt-1,11027260408001,50427315257537,490551181505|471435739329|470701048001|293003460801|485747097793|474547093697|284518547649|491823464641|487623786689
TONES-COL-0024,navy-blue-acid-wash-t-shirt-2,11027260997825,50427320860865,490551181505|471435739329|470701048001|293003460801|485747097793|474547093697|284518547649|491823464641|487623786689
TONES-COL-0024,the-alpha-oversized-tee,11051699667137,50525600710849,471435739329|470701048001|483744415937|293003460801|485747097793|474547093697|284518547649|491823464641|491635343553|474531004609
TONES-COL-0024,the-alpha-oversized-tee-copy,11051705925825,50525615587521,471435739329|470701048001|483744415937|293003460801|485747097793|474547093697|284518547649|491823464641|491635343553|474531004609
TONES-COL-0024,the-final-act-oversized-tee-copy,11051711365313,50525626335425,471435739329|470701048001|483744415937|293003460801|485747097793|474547093697|284518547649|491823464641|491635343553|474531004609
TONES-COL-0027,scenic-still-ness-sage-green-1,10881197867201,49880939561153,483744415937|485820989633|290105786561|284518514881|284518645953|491823464641
TONES-COL-0027,petal-trays-charcoal-green-short-kurta,10881197572289,49880937562305,483744415937|485820989633|290105786561|284518514881|284518645953|491823464641
TONES-COL-0027,petal-trays-teal-blue-short-kurta,10881143406785,49880655659201,483744415937|485820989633|290105786561|284518514881|284518645953|491823464641
TONES-COL-0027,scenic-still-ness-butter-yellow-short-kurta,10881142653121,49880653594817,483744415937|485820989633|290105786561|284518514881|284518645953|491823464641
TONES-COL-0027,tusker-tails-soft-cream-short-kurta,10881142292673,49880653037761,483744415937|485820989633|290105786561|284518514881|284518645953|491823464641
TONES-COL-0027,cream-short-kurta-copy,10881141833921,49880652054721,483744415937|485820989633|290105786561|284518514881|284518645953|491823464641
TONES-COL-0027,karma-white-shirt,10829637124289,49601271922881,483744415937|293003460801|284518514881|483538763969|491823464641
TONES-COL-0027,karma-jet-black-shirt,10829636960449,49601271005377,483744415937|293003460801|284518514881|483538763969|491823464641
TONES-COL-0027,white-bloom-shirt,10826100211905,49581698482369,483744415937|293003460801|490862379201|284518514881|491823464641|487623786689
TONES-COL-0027,blue-drip-sweatshirt-copy,10802333286593,49513368715457,483744415937|482946384065|490862379201|491823464641
TONES-COL-0027,red-drip-sweatshirt,10802333221057,49513367863489,483744415937|482946384065|490862379201|491823464641
TONES-COL-0027,the-alpha-oversized-tee,11051699667137,50525600710849,471435739329|470701048001|483744415937|293003460801|485747097793|474547093697|284518547649|491823464641|491635343553|474531004609
TONES-COL-0027,the-alpha-oversized-tee-copy,11051705925825,50525615587521,471435739329|470701048001|483744415937|293003460801|485747097793|474547093697|284518547649|491823464641|491635343553|474531004609
TONES-COL-0027,the-final-act-oversized-tee-copy,11051711365313,50525626335425,471435739329|470701048001|483744415937|293003460801|485747097793|474547093697|284518547649|491823464641|491635343553|474531004609
TONES-COL-0028,chaotic-good-pink-1,10582331523265,48697839583425,479397216449|475043758273|474423492801|479542378689|491823464641|474531004609|293299388609|477701308609
TONES-COL-0029,navy-blue-courdury-shacket,10907446378689,49963381555393,479128486081|486469140673|293003460801|485747097793|288566313153|284518514881|483538763969|491823464641|487623786689
TONES-COL-0029,maroon-courdry-shacket-copy,10907453161665,49963396825281,479128486081|486469140673|293003460801|485747097793|288566313153|284518514881|483538763969|491823464641|487623786689
TONES-COL-0029,blue-checks-flanel,10848594067649,49648515088577,486469140673|293003460801|490862379201|284518514881|483538763969|491823464641
TONES-COL-0029,dark-blue-checks-flanel,10848595542209,49648543170753,486469140673|293003460801|490862379201|284518514881|483538763969|491823464641
TONES-COL-0029,brown-double-pocket-shacket,10852506468545,49663564611777,479128486081|486469140673|293003460801|485747097793|490862379201|288566313153|284518514881|483538763969|491823464641
TONES-COL-0029,charcoal-grey-flannel-double-pocket-shirt,10852506239169,49663562481857,479128486081|486469140673|293003460801|490862379201|288566313153|284518514881|483538763969|491823464641
TONES-COL-0029,black-flannel-double-pocket-shirt,10852506075329,49663559205057,479128486081|486469140673|293003460801|288566313153|284518514881|483538763969|491823464641
TONES-COL-0029,grey-double-pocket-shacket,10852506435777,49663563104449,479128486081|486469140673|293003460801|485747097793|490862379201|288566313153|284518514881|483538763969|491823464641
TONES-COL-0030,red-drip-sweatshirt,10802333221057,49513367863489,483744415937|482946384065|490862379201|491823464641
TONES-COL-0030,blue-drip-sweatshirt-copy,10802333286593,49513368715457,483744415937|482946384065|490862379201|491823464641
TONES-COL-0032,chaotic-good-pink-1,10582331523265,48697839583425,479397216449|475043758273|474423492801|479542378689|491823464641|474531004609|293299388609|477701308609
TONES-COL-0034,round-neck-slim-fit-tee-navy-blue-copy,10705722310849,49201868865729,479397216449|292796661953|474547093697|284518547649|491823464641|489800040641|479232426177|487623786689|474531004609
TONES-COL-0034,round-neck-slim-fit-tee-white-copy,10705727258817,49201863295169,479397216449|292796661953|474547093697|284518547649|491823464641|489800040641|479232426177|487623786689|474531004609
TONES-COL-0036,chaotic-good-pink-1,10582331523265,48697839583425,479397216449|475043758273|474423492801|479542378689|491823464641|474531004609|293299388609|477701308609
