product_handle,url,discovery_source,product_collection_status,product_page_status,classification,action_required
predator-tee-relaxed-fit-white,https://www.tonesfashion.com/products/predator-tee-relaxed-fit-white,Official product sitemap,NOT_IN_COLLECTIONS,HTTP_404,NEEDS_VERIFICATION,Verify current product URL or product status
beige-flannel-shirt-copy,https://www.tonesfashion.com/products/beige-flannel-shirt-copy,Official product sitemap,NOT_IN_COLLECTIONS,HTTP_404,NEEDS_VERIFICATION,Verify current product URL or product status
urban-drfit-green,https://www.tonesfashion.com/products/urban-drfit-green,Official product sitemap,NOT_IN_COLLECTIONS,HTTP_404,NEEDS_VERIFICATION,Verify current product URL or product status
double-pocket-off-white-shirt,https://www.tonesfashion.com/products/double-pocket-off-white-shirt,Official product sitemap,NOT_IN_COLLECTIONS,HTTP_404,NEEDS_VERIFICATION,Verify current product URL or product status
