product_handle,url,status,product_name,variants,error
predator-tee-relaxed-fit-white,https://www.tonesfashion.com/products/predator-tee-relaxed-fit-white,FAILED,,0,curl: (22) The requested URL returned error: 404
beige-flannel-shirt-copy,https://www.tonesfashion.com/products/beige-flannel-shirt-copy,FAILED,,0,curl: (22) The requested URL returned error: 404
urban-drfit-green,https://www.tonesfashion.com/products/urban-drfit-green,FAILED,,0,curl: (22) The requested URL returned error: 404
double-pocket-off-white-shirt,https://www.tonesfashion.com/products/double-pocket-off-white-shirt,FAILED,,0,curl: (22) The requested URL returned error: 404
